date,repository,site,plugins
2024-05-07,awesome-neovim,github.com,847
2024-05-07,awesome-neovim,gitlab.com,2
2024-05-07,awesome-neovim,total,857
2024-05-07,extra,codeberg.org,2
2024-05-07,extra,git.sr.ht,5
2024-05-07,extra,github.com,542
2024-05-07,extra,gitlab.com,2
2024-05-07,extra,total,551
2024-05-07,nixpkgs,git.sr.ht,3
2024-05-07,nixpkgs,github.com,1433
2024-05-07,nixpkgs,gitlab.com,2
2024-05-07,nixpkgs,total,1438
2024-05-08,awesome-neovim,codeberg.org,2
2024-05-08,awesome-neovim,git.sr.ht,6
2024-05-08,awesome-neovim,github.com,847
2024-05-08,awesome-neovim,gitlab.com,2
2024-05-08,awesome-neovim,total,857
2024-05-08,extra,codeberg.org,2
2024-05-08,extra,git.sr.ht,5
2024-05-08,extra,github.com,542
2024-05-08,extra,gitlab.com,2
2024-05-08,extra,total,551
2024-05-08,nixpkgs,git.sr.ht,3
2024-05-08,nixpkgs,github.com,1433
2024-05-08,nixpkgs,gitlab.com,2
2024-05-08,nixpkgs,total,1438
2024-05-09,awesome-neovim,codeberg.org,2
2024-05-09,awesome-neovim,git.sr.ht,6
2024-05-09,awesome-neovim,github.com,847
2024-05-09,awesome-neovim,gitlab.com,2
2024-05-09,awesome-neovim,total,857
2024-05-09,extra,codeberg.org,2
2024-05-09,extra,git.sr.ht,5
2024-05-09,extra,github.com,543
2024-05-09,extra,gitlab.com,2
2024-05-09,extra,total,552
2024-05-09,nixpkgs,git.sr.ht,3
2024-05-09,nixpkgs,github.com,1433
2024-05-09,nixpkgs,gitlab.com,2
2024-05-09,nixpkgs,total,1438
2024-05-10,awesome-neovim,codeberg.org,2
2024-05-10,awesome-neovim,git.sr.ht,6
2024-05-10,awesome-neovim,github.com,847
2024-05-10,awesome-neovim,gitlab.com,2
2024-05-10,awesome-neovim,total,857
2024-05-10,extra,codeberg.org,2
2024-05-10,extra,git.sr.ht,5
2024-05-10,extra,github.com,543
2024-05-10,extra,gitlab.com,2
2024-05-10,extra,total,552
2024-05-10,nixpkgs,git.sr.ht,3
2024-05-10,nixpkgs,github.com,1433
2024-05-10,nixpkgs,gitlab.com,2
2024-05-10,nixpkgs,total,1438
2024-05-11,awesome-neovim,codeberg.org,2
2024-05-11,awesome-neovim,git.sr.ht,6
2024-05-11,awesome-neovim,github.com,847
2024-05-11,awesome-neovim,gitlab.com,2
2024-05-11,awesome-neovim,total,857
2024-05-11,extra,codeberg.org,2
2024-05-11,extra,git.sr.ht,5
2024-05-11,extra,github.com,543
2024-05-11,extra,gitlab.com,2
2024-05-11,extra,total,552
2024-05-11,nixpkgs,git.sr.ht,3
2024-05-11,nixpkgs,github.com,1433
2024-05-11,nixpkgs,gitlab.com,2
2024-05-11,nixpkgs,total,1438
2024-05-12,awesome-neovim,codeberg.org,2
2024-05-12,awesome-neovim,git.sr.ht,6
2024-05-12,awesome-neovim,github.com,847
2024-05-12,awesome-neovim,gitlab.com,2
2024-05-12,awesome-neovim,total,857
2024-05-12,extra,codeberg.org,2
2024-05-12,extra,git.sr.ht,5
2024-05-12,extra,github.com,543
2024-05-12,extra,gitlab.com,2
2024-05-12,extra,total,552
2024-05-12,nixpkgs,git.sr.ht,3
2024-05-12,nixpkgs,github.com,1433
2024-05-12,nixpkgs,gitlab.com,2
2024-05-12,nixpkgs,total,1438
2024-05-13,awesome-neovim,codeberg.org,2
2024-05-13,awesome-neovim,git.sr.ht,6
2024-05-13,awesome-neovim,github.com,847
2024-05-13,awesome-neovim,gitlab.com,2
2024-05-13,awesome-neovim,total,857
2024-05-13,extra,codeberg.org,2
2024-05-13,extra,git.sr.ht,5
2024-05-13,extra,github.com,543
2024-05-13,extra,gitlab.com,2
2024-05-13,extra,total,552
2024-05-13,nixpkgs,git.sr.ht,3
2024-05-13,nixpkgs,github.com,1434
2024-05-13,nixpkgs,gitlab.com,2
2024-05-13,nixpkgs,total,1439
2024-05-14,awesome-neovim,codeberg.org,2
2024-05-14,awesome-neovim,git.sr.ht,6
2024-05-14,awesome-neovim,github.com,847
2024-05-14,awesome-neovim,gitlab.com,2
2024-05-14,awesome-neovim,total,857
2024-05-14,extra,codeberg.org,2
2024-05-14,extra,git.sr.ht,5
2024-05-14,extra,github.com,543
2024-05-14,extra,gitlab.com,2
2024-05-14,extra,total,552
2024-05-14,nixpkgs,git.sr.ht,3
2024-05-14,nixpkgs,github.com,1434
2024-05-14,nixpkgs,gitlab.com,2
2024-05-14,nixpkgs,total,1439
2024-05-15,awesome-neovim,codeberg.org,2
2024-05-15,awesome-neovim,git.sr.ht,6
2024-05-15,awesome-neovim,github.com,847
2024-05-15,awesome-neovim,gitlab.com,2
2024-05-15,awesome-neovim,total,857
2024-05-15,extra,codeberg.org,2
2024-05-15,extra,git.sr.ht,5
2024-05-15,extra,github.com,543
2024-05-15,extra,gitlab.com,2
2024-05-15,extra,total,552
2024-05-15,nixpkgs,git.sr.ht,3
2024-05-15,nixpkgs,github.com,1434
2024-05-15,nixpkgs,gitlab.com,2
2024-05-15,nixpkgs,total,1439
2024-05-16,awesome-neovim,codeberg.org,2
2024-05-16,awesome-neovim,git.sr.ht,6
2024-05-16,awesome-neovim,github.com,847
2024-05-16,awesome-neovim,gitlab.com,2
2024-05-16,awesome-neovim,total,857
2024-05-16,extra,codeberg.org,2
2024-05-16,extra,git.sr.ht,5
2024-05-16,extra,github.com,543
2024-05-16,extra,gitlab.com,2
2024-05-16,extra,total,552
2024-05-16,nixpkgs,git.sr.ht,3
2024-05-16,nixpkgs,github.com,1434
2024-05-16,nixpkgs,gitlab.com,2
2024-05-16,nixpkgs,total,1439
2024-05-17,awesome-neovim,codeberg.org,2
2024-05-17,awesome-neovim,git.sr.ht,6
2024-05-17,awesome-neovim,github.com,847
2024-05-17,awesome-neovim,gitlab.com,2
2024-05-17,awesome-neovim,total,857
2024-05-17,extra,codeberg.org,2
2024-05-17,extra,git.sr.ht,5
2024-05-17,extra,github.com,542
2024-05-17,extra,gitlab.com,2
2024-05-17,extra,total,551
2024-05-17,nixpkgs,git.sr.ht,3
2024-05-17,nixpkgs,github.com,1435
2024-05-17,nixpkgs,gitlab.com,2
2024-05-17,nixpkgs,total,1440
2024-05-18,awesome-neovim,codeberg.org,2
2024-05-18,awesome-neovim,git.sr.ht,6
2024-05-18,awesome-neovim,github.com,847
2024-05-18,awesome-neovim,gitlab.com,2
2024-05-18,awesome-neovim,total,857
2024-05-18,extra,codeberg.org,2
2024-05-18,extra,git.sr.ht,5
2024-05-18,extra,github.com,542
2024-05-18,extra,gitlab.com,2
2024-05-18,extra,total,551
2024-05-18,nixpkgs,git.sr.ht,3
2024-05-18,nixpkgs,github.com,1435
2024-05-18,nixpkgs,gitlab.com,2
2024-05-18,nixpkgs,total,1440
2024-05-19,awesome-neovim,codeberg.org,2
2024-05-19,awesome-neovim,git.sr.ht,6
2024-05-19,awesome-neovim,github.com,847
2024-05-19,awesome-neovim,gitlab.com,2
2024-05-19,awesome-neovim,total,857
2024-05-19,extra,codeberg.org,2
2024-05-19,extra,git.sr.ht,5
2024-05-19,extra,github.com,542
2024-05-19,extra,gitlab.com,2
2024-05-19,extra,total,551
2024-05-19,nixpkgs,git.sr.ht,3
2024-05-19,nixpkgs,github.com,1435
2024-05-19,nixpkgs,gitlab.com,2
2024-05-19,nixpkgs,total,1440
2024-05-20,awesome-neovim,codeberg.org,2
2024-05-20,awesome-neovim,git.sr.ht,6
2024-05-20,awesome-neovim,github.com,852
2024-05-20,awesome-neovim,gitlab.com,2
2024-05-20,awesome-neovim,total,862
2024-05-20,extra,codeberg.org,2
2024-05-20,extra,git.sr.ht,5
2024-05-20,extra,github.com,548
2024-05-20,extra,gitlab.com,2
2024-05-20,extra,total,557
2024-05-20,nixpkgs,git.sr.ht,3
2024-05-20,nixpkgs,github.com,1436
2024-05-20,nixpkgs,gitlab.com,2
2024-05-20,nixpkgs,total,1441
2024-05-21,awesome-neovim,codeberg.org,2
2024-05-21,awesome-neovim,git.sr.ht,6
2024-05-21,awesome-neovim,github.com,854
2024-05-21,awesome-neovim,gitlab.com,2
2024-05-21,awesome-neovim,total,864
2024-05-21,extra,codeberg.org,2
2024-05-21,extra,git.sr.ht,5
2024-05-21,extra,github.com,550
2024-05-21,extra,gitlab.com,2
2024-05-21,extra,total,559
2024-05-21,nixpkgs,git.sr.ht,3
2024-05-21,nixpkgs,github.com,1436
2024-05-21,nixpkgs,gitlab.com,2
2024-05-21,nixpkgs,total,1441
2024-05-22,awesome-neovim,codeberg.org,2
2024-05-22,awesome-neovim,git.sr.ht,6
2024-05-22,awesome-neovim,github.com,856
2024-05-22,awesome-neovim,gitlab.com,2
2024-05-22,awesome-neovim,total,866
2024-05-22,extra,codeberg.org,2
2024-05-22,extra,git.sr.ht,5
2024-05-22,extra,github.com,552
2024-05-22,extra,gitlab.com,2
2024-05-22,extra,total,561
2024-05-22,nixpkgs,git.sr.ht,3
2024-05-22,nixpkgs,github.com,1436
2024-05-22,nixpkgs,gitlab.com,2
2024-05-22,nixpkgs,total,1441
2024-05-23,awesome-neovim,codeberg.org,2
2024-05-23,awesome-neovim,git.sr.ht,6
2024-05-23,awesome-neovim,github.com,857
2024-05-23,awesome-neovim,gitlab.com,2
2024-05-23,awesome-neovim,total,867
2024-05-23,extra,codeberg.org,2
2024-05-23,extra,git.sr.ht,5
2024-05-23,extra,github.com,553
2024-05-23,extra,gitlab.com,2
2024-05-23,extra,total,562
2024-05-23,nixpkgs,git.sr.ht,3
2024-05-23,nixpkgs,github.com,1436
2024-05-23,nixpkgs,gitlab.com,2
2024-05-23,nixpkgs,total,1441
2024-05-24,awesome-neovim,codeberg.org,2
2024-05-24,awesome-neovim,git.sr.ht,6
2024-05-24,awesome-neovim,github.com,857
2024-05-24,awesome-neovim,gitlab.com,2
2024-05-24,awesome-neovim,total,867
2024-05-24,extra,codeberg.org,2
2024-05-24,extra,git.sr.ht,5
2024-05-24,extra,github.com,552
2024-05-24,extra,gitlab.com,2
2024-05-24,extra,total,561
2024-05-24,nixpkgs,git.sr.ht,3
2024-05-24,nixpkgs,github.com,1437
2024-05-24,nixpkgs,gitlab.com,2
2024-05-24,nixpkgs,total,1442
2024-05-25,awesome-neovim,codeberg.org,2
2024-05-25,awesome-neovim,git.sr.ht,6
2024-05-25,awesome-neovim,github.com,858
2024-05-25,awesome-neovim,gitlab.com,2
2024-05-25,awesome-neovim,total,868
2024-05-25,extra,codeberg.org,2
2024-05-25,extra,git.sr.ht,5
2024-05-25,extra,github.com,553
2024-05-25,extra,gitlab.com,2
2024-05-25,extra,total,562
2024-05-25,nixpkgs,git.sr.ht,3
2024-05-25,nixpkgs,github.com,1438
2024-05-25,nixpkgs,gitlab.com,2
2024-05-25,nixpkgs,total,1443
2024-05-26,awesome-neovim,codeberg.org,2
2024-05-26,awesome-neovim,git.sr.ht,6
2024-05-26,awesome-neovim,github.com,858
2024-05-26,awesome-neovim,gitlab.com,2
2024-05-26,awesome-neovim,total,868
2024-05-26,extra,codeberg.org,2
2024-05-26,extra,git.sr.ht,5
2024-05-26,extra,github.com,553
2024-05-26,extra,gitlab.com,2
2024-05-26,extra,total,562
2024-05-26,nixpkgs,git.sr.ht,3
2024-05-26,nixpkgs,github.com,1438
2024-05-26,nixpkgs,gitlab.com,2
2024-05-26,nixpkgs,total,1443
2024-05-27,awesome-neovim,codeberg.org,2
2024-05-27,awesome-neovim,git.sr.ht,6
2024-05-27,awesome-neovim,github.com,857
2024-05-27,awesome-neovim,gitlab.com,2
2024-05-27,awesome-neovim,total,867
2024-05-27,extra,codeberg.org,2
2024-05-27,extra,git.sr.ht,5
2024-05-27,extra,github.com,552
2024-05-27,extra,gitlab.com,2
2024-05-27,extra,total,561
2024-05-27,nixpkgs,git.sr.ht,3
2024-05-27,nixpkgs,github.com,1438
2024-05-27,nixpkgs,gitlab.com,2
2024-05-27,nixpkgs,total,1443
2024-05-28,awesome-neovim,codeberg.org,2
2024-05-28,awesome-neovim,git.sr.ht,6
2024-05-28,awesome-neovim,github.com,857
2024-05-28,awesome-neovim,gitlab.com,2
2024-05-28,awesome-neovim,total,867
2024-05-28,extra,codeberg.org,2
2024-05-28,extra,git.sr.ht,5
2024-05-28,extra,github.com,552
2024-05-28,extra,gitlab.com,2
2024-05-28,extra,total,561
2024-05-28,nixpkgs,git.sr.ht,3
2024-05-28,nixpkgs,github.com,1438
2024-05-28,nixpkgs,gitlab.com,2
2024-05-28,nixpkgs,total,1443
2024-05-29,awesome-neovim,codeberg.org,2
2024-05-29,awesome-neovim,git.sr.ht,6
2024-05-29,awesome-neovim,github.com,857
2024-05-29,awesome-neovim,gitlab.com,2
2024-05-29,awesome-neovim,total,867
2024-05-29,extra,codeberg.org,2
2024-05-29,extra,git.sr.ht,5
2024-05-29,extra,github.com,552
2024-05-29,extra,gitlab.com,2
2024-05-29,extra,total,561
2024-05-29,nixpkgs,codeberg.org,1
2024-05-29,nixpkgs,git.sr.ht,3
2024-05-29,nixpkgs,github.com,1437
2024-05-29,nixpkgs,gitlab.com,2
2024-05-29,nixpkgs,total,1443
2024-05-31,awesome-neovim,codeberg.org,2
2024-05-31,awesome-neovim,git.sr.ht,6
2024-05-31,awesome-neovim,github.com,859
2024-05-31,awesome-neovim,gitlab.com,2
2024-05-31,awesome-neovim,total,869
2024-05-31,extra,codeberg.org,2
2024-05-31,extra,git.sr.ht,5
2024-05-31,extra,github.com,553
2024-05-31,extra,gitlab.com,2
2024-05-31,extra,total,562
2024-05-31,nixpkgs,codeberg.org,1
2024-05-31,nixpkgs,git.sr.ht,3
2024-05-31,nixpkgs,github.com,1438
2024-05-31,nixpkgs,gitlab.com,2
2024-05-31,nixpkgs,total,1444
2024-06-01,awesome-neovim,codeberg.org,2
2024-06-01,awesome-neovim,git.sr.ht,6
2024-06-01,awesome-neovim,github.com,859
2024-06-01,awesome-neovim,gitlab.com,2
2024-06-01,awesome-neovim,total,869
2024-06-01,extra,codeberg.org,2
2024-06-01,extra,git.sr.ht,5
2024-06-01,extra,github.com,553
2024-06-01,extra,gitlab.com,2
2024-06-01,extra,total,562
2024-06-01,nixpkgs,codeberg.org,1
2024-06-01,nixpkgs,git.sr.ht,3
2024-06-01,nixpkgs,github.com,1438
2024-06-01,nixpkgs,gitlab.com,2
2024-06-01,nixpkgs,total,1444
2024-06-02,awesome-neovim,codeberg.org,2
2024-06-02,awesome-neovim,git.sr.ht,6
2024-06-02,awesome-neovim,github.com,860
2024-06-02,awesome-neovim,gitlab.com,2
2024-06-02,awesome-neovim,total,870
2024-06-02,extra,codeberg.org,2
2024-06-02,extra,git.sr.ht,5
2024-06-02,extra,github.com,554
2024-06-02,extra,gitlab.com,2
2024-06-02,extra,total,563
2024-06-02,nixpkgs,codeberg.org,1
2024-06-02,nixpkgs,git.sr.ht,3
2024-06-02,nixpkgs,github.com,1438
2024-06-02,nixpkgs,gitlab.com,2
2024-06-02,nixpkgs,total,1444
2024-06-03,awesome-neovim,codeberg.org,2
2024-06-03,awesome-neovim,git.sr.ht,6
2024-06-03,awesome-neovim,github.com,860
2024-06-03,awesome-neovim,gitlab.com,2
2024-06-03,awesome-neovim,total,870
2024-06-03,extra,codeberg.org,2
2024-06-03,extra,git.sr.ht,5
2024-06-03,extra,github.com,554
2024-06-03,extra,gitlab.com,2
2024-06-03,extra,total,563
2024-06-03,nixpkgs,codeberg.org,1
2024-06-03,nixpkgs,git.sr.ht,3
2024-06-03,nixpkgs,github.com,1438
2024-06-03,nixpkgs,gitlab.com,2
2024-06-03,nixpkgs,total,1444
2024-06-04,awesome-neovim,codeberg.org,2
2024-06-04,awesome-neovim,git.sr.ht,6
2024-06-04,awesome-neovim,github.com,860
2024-06-04,awesome-neovim,gitlab.com,2
2024-06-04,awesome-neovim,total,870
2024-06-04,extra,codeberg.org,2
2024-06-04,extra,git.sr.ht,5
2024-06-04,extra,github.com,554
2024-06-04,extra,gitlab.com,2
2024-06-04,extra,total,563
2024-06-04,nixpkgs,codeberg.org,1
2024-06-04,nixpkgs,git.sr.ht,3
2024-06-04,nixpkgs,github.com,1439
2024-06-04,nixpkgs,gitlab.com,2
2024-06-04,nixpkgs,total,1445
2024-06-05,awesome-neovim,codeberg.org,2
2024-06-05,awesome-neovim,git.sr.ht,6
2024-06-05,awesome-neovim,github.com,861
2024-06-05,awesome-neovim,gitlab.com,2
2024-06-05,awesome-neovim,total,871
2024-06-05,extra,codeberg.org,2
2024-06-05,extra,git.sr.ht,5
2024-06-05,extra,github.com,555
2024-06-05,extra,gitlab.com,2
2024-06-05,extra,total,564
2024-06-05,nixpkgs,codeberg.org,1
2024-06-05,nixpkgs,git.sr.ht,3
2024-06-05,nixpkgs,github.com,1439
2024-06-05,nixpkgs,gitlab.com,2
2024-06-05,nixpkgs,total,1445
2024-06-06,awesome-neovim,codeberg.org,2
2024-06-06,awesome-neovim,git.sr.ht,6
2024-06-06,awesome-neovim,github.com,861
2024-06-06,awesome-neovim,gitlab.com,2
2024-06-06,awesome-neovim,total,871
2024-06-06,extra,codeberg.org,2
2024-06-06,extra,git.sr.ht,5
2024-06-06,extra,github.com,555
2024-06-06,extra,gitlab.com,2
2024-06-06,extra,total,564
2024-06-06,nixpkgs,codeberg.org,1
2024-06-06,nixpkgs,git.sr.ht,3
2024-06-06,nixpkgs,github.com,1440
2024-06-06,nixpkgs,gitlab.com,2
2024-06-06,nixpkgs,total,1446
2024-06-07,awesome-neovim,codeberg.org,2
2024-06-07,awesome-neovim,git.sr.ht,6
2024-06-07,awesome-neovim,github.com,861
2024-06-07,awesome-neovim,gitlab.com,2
2024-06-07,awesome-neovim,total,871
2024-06-07,extra,codeberg.org,2
2024-06-07,extra,git.sr.ht,5
2024-06-07,extra,github.com,555
2024-06-07,extra,gitlab.com,2
2024-06-07,extra,total,564
2024-06-07,nixpkgs,codeberg.org,1
2024-06-07,nixpkgs,git.sr.ht,3
